group_name,ingredient_name
레티놀 계열,레티놀
레티놀 계열,레티날
레티놀 계열,레티놀팔미테이트
레티놀 계열,레티닐프로피오네이트
AHA 계열,글리콜릭애씨드
AHA 계열,락틱애씨드
AHA 계열,만델릭애씨드
AHA 계열,타타르산
AHA 계열,말릭애씨드
AHA 계열,시트릭애씨드
BHA 계열,살리실릭애씨드
BHA 계열,베타인살리실레이트
비타민C 계열,아스코빅애씨드
비타민C 계열,아스코르빌글루코사이드
비타민C 계열,에틸아스코르빌에테르
비타민C 계열,아스코르빌테트라이소팔미테이트
비타민C 계열,3-O-에틸아스코빅애씨드
비타민C 계열,소듐아스코빌포스페이트
펩타이드 계열,아세틸테트라펩타이드-11
펩타이드 계열,팔미토일펜타펩타이드-4
펩타이드 계열,팔미토일트라이펩타이드-1
펩타이드 계열,트라이펩타이드-1
펩타이드 계열,헥사펩타이드-9
펩타이드 계열,노나펩타이드-1
펩타이드 계열,팔미토일테트라펩타이드-7
펩타이드 계열,아세틸헥사펩타이드-8
펩타이드 계열,아세틸테트라펩타이드-2
펩타이드 계열,카퍼트라이펩타이드-1
구리 펩타이드 계열,카퍼트라이펩타이드-1
아연 계열,아연설페이트
아연 계열,피씨에이아연
아연 계열,징크옥사이드
EGF 및 성장인자 계열,에스에이치-올리고펩타이드-1
EGF 및 성장인자 계열,에스에이치-폴리펩타이드-1
